iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
519	259	288	259	340	259	340	288
520	259	288	259	340	259	340	288
521	259	288	259	340	259	340	288
522	259	288	259	340	259	340	288
523	259	288	259	340	259	340	288
524	259	288	259	340	259	340	288
525	259	288	259	340	259	340	288
526	259	288	259	340	259	340	288
527	259	288	259	340	259	340	288
528	259	288	259	340	259	340	288
529	259	288	259	340	259	340	288
530	261	292	261	340	261	340	292
531	261	292	261	340	261	340	292
532	261	292	261	340	261	340	292
533	261	292	261	340	261	340	292
534	262	293	262	340	262	340	293
535	262	293	262	340	262	340	293
536	262	293	262	340	262	340	293
537	262	293	262	340	262	340	293
538	262	293	262	340	262	340	293
539	262	293	262	340	262	340	293
540	261	290	261	340	261	340	290
541	261	290	261	340	261	340	290
542	261	290	261	340	261	340	290
543	261	290	261	340	261	340	290
544	263	293	263	340	263	340	293
545	263	293	263	340	263	340	293
546	261	290	261	340	261	340	290
547	261	290	261	340	261	340	290
548	261	290	261	340	261	340	290
549	263	293	263	340	263	340	293
550	263	293	263	340	263	340	293
551	263	293	263	340	263	340	293
552	264	294	264	340	264	340	294
553	264	294	264	340	264	340	294
554	264	294	264	340	264	340	294
555	264	294	264	340	264	340	294
556	263	293	263	340	263	340	293
557	263	293	263	340	263	340	293
558	264	294	264	340	264	340	294
559	264	294	264	340	264	340	294
560	264	294	264	340	264	340	294
561	264	294	264	340	264	340	294
562	264	294	264	340	264	340	294
563	264	294	264	340	264	340	294
564	264	294	264	340	264	340	294
565	264	294	264	340	264	340	294
566	264	294	264	340	264	340	294
567	264	294	264	340	264	340	294
568	264	294	264	340	264	340	294
569	264	294	264	340	264	340	294
570	264	294	264	340	264	340	294
571	264	294	264	340	264	340	294
572	264	294	264	340	264	340	294
573	264	294	264	340	264	340	294
574	264	294	264	340	264	340	294
575	264	294	264	340	264	340	294
576	264	294	264	340	264	340	294
577	264	294	264	340	264	340	294
578	264	294	264	340	264	340	294
579	264	294	264	340	264	340	294
580	264	294	264	340	264	340	294
581	264	294	264	340	264	340	294
582	264	294	264	340	264	340	294
583	264	294	264	340	264	340	294
584	264	294	264	340	264	340	294
585	264	294	264	340	264	340	294
586	264	294	264	340	264	340	294
587	264	294	264	340	264	340	294
588	264	294	264	340	264	340	294
589	264	294	264	340	264	340	294
590	264	294	264	340	264	340	294
591	264	294	264	340	264	340	294
592	264	294	264	340	264	340	294
593	264	294	264	340	264	340	294
594	264	294	264	340	264	340	294
595	264	294	264	340	264	340	294
596	264	294	264	340	264	340	294
597	264	294	264	340	264	340	294
598	264	294	264	340	264	340	294
599	264	294	264	340	264	340	294
600	264	294	264	340	264	340	294
601	264	294	264	340	264	340	294
602	264	294	264	340	264	340	294
603	264	294	264	340	264	340	294
604	264	294	264	340	264	340	294
605	264	294	264	340	264	340	294
606	264	294	264	340	264	340	294
607	264	294	264	340	264	340	294
608	264	294	264	340	264	340	294
609	264	294	264	340	264	340	294
610	264	294	264	340	264	340	294
611	264	294	264	340	264	340	294
612	264	294	264	340	264	340	294
613	264	294	264	340	264	340	294
614	264	294	264	340	264	340	294
615	264	294	264	340	264	340	294
616	264	294	264	340	264	340	294
617	264	294	264	340	264	340	294
618	264	294	264	340	264	340	294
619	264	294	264	340	264	340	294
620	264	294	264	340	264	340	294
621	264	294	264	340	264	340	294
622	264	294	264	340	264	340	294
623	264	294	264	340	264	340	294
624	264	294	264	340	264	340	294
625	264	294	264	340	264	340	294
626	264	294	264	340	264	340	294
627	264	294	264	340	264	340	294
628	264	294	264	340	264	340	294
629	264	294	264	340	264	340	294
630	264	294	264	340	264	340	294
631	264	294	264	340	264	340	294
632	264	294	264	340	264	340	294
633	264	294	264	340	264	340	294
634	264	294	264	340	264	340	294
635	264	294	264	340	264	340	294
636	264	294	264	340	264	340	294
637	264	294	264	340	264	340	294
638	264	294	264	340	264	340	294
639	264	294	264	340	264	340	294
640	264	294	264	340	264	340	294
641	264	294	264	340	264	340	294
642	264	294	264	340	264	340	294
643	264	294	264	340	264	340	294
644	264	294	264	340	264	340	294
645	264	294	264	340	264	340	294
646	264	294	264	340	264	340	294
647	264	294	264	340	264	340	294
648	264	294	264	340	264	340	294
649	264	294	264	340	264	340	294
650	264	294	264	340	264	340	294
651	264	294	264	340	264	340	294
652	264	294	264	340	264	340	294
653	264	294	264	340	264	340	294
654	264	294	264	340	264	340	294
655	264	294	264	340	264	340	294
656	264	294	264	340	264	340	294
657	264	294	264	340	264	340	294
658	264	294	264	340	264	340	294
659	264	294	264	340	264	340	294
660	264	294	264	340	264	340	294
661	264	294	264	340	264	340	294
662	264	294	264	340	264	340	294
663	265	295	265	340	265	340	295
664	265	295	265	340	265	340	295
665	265	295	265	340	265	340	295
666	265	295	265	340	265	340	295
667	265	295	265	340	265	340	295
668	265	295	265	340	265	340	295
669	265	295	265	340	265	340	295
670	265	295	265	340	265	340	295
671	265	295	265	340	265	340	295
672	265	296	265	340	265	340	296
673	265	295	265	340	265	340	295
674	265	295	265	340	265	340	295
675	265	295	265	340	265	340	295
676	265	295	265	340	265	340	295
677	265	295	265	340	265	340	295
678	265	295	265	340	265	340	295
679	265	295	265	340	265	340	295
680	265	296	265	340	265	340	296
681	267	298	267	340	267	340	298
682	267	298	267	340	267	340	298
683	267	298	267	340	267	340	298
684	267	298	267	340	267	340	298
685	267	298	267	340	267	340	298
686	267	298	267	340	267	340	298
687	267	298	267	340	267	340	298
688	267	298	267	340	267	340	298
689	267	298	267	340	267	340	298
690	267	298	267	340	267	340	298
691	267	298	267	340	267	340	298
692	267	298	267	340	267	340	298
693	267	298	267	340	267	340	298
694	267	298	267	340	267	340	298
695	267	298	267	340	267	340	298
696	265	296	265	340	265	340	296
